
025-06-09 18:41:06,497 - ETL pipeline failed: Unable to locate credentials
2025-06-10 08:55:32,195 - INFO - Glue database 'etl_glue_db' already exists.
2025-06-10 08:55:32,656 - INFO - Glue crawler already exists.
2025-06-10 08:55:32,772 - INFO - Uploaded transformed_data.csv to S3 as transformed_data.csv
2025-06-10 08:55:43,016 - ERROR - Pipeline failed: (pymysql.err.OperationalError) (2003, "Can't connect to MySQL server on 'etl-mysql-db.c9y8eyuekmgp.ap-south-1.rds.amazonaws.com' (timed out)")
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-10 09:02:00,375 - INFO - Found credentials in shared credentials file: ~/.aws/credentials
2025-06-10 09:02:00,736 - INFO - ETL pipeline started.
2025-06-10 09:02:01,944 - INFO - S3 bucket 'my-etl-bucket-unique123456' already exists.
2025-06-10 09:02:03,239 - INFO - RDS instance already exists.
2025-06-10 09:02:05,674 - INFO - IAM role 'AWSGlueServiceRole' already exists.
2025-06-10 09:02:06,362 - INFO - Glue database 'etl_glue_db' already exists.
2025-06-10 09:02:06,950 - INFO - Glue crawler already exists.
2025-06-10 09:02:07,078 - INFO - Uploaded transformed_data.csv to S3 as transformed_data.csv
2025-06-10 09:02:17,242 - ERROR - Pipeline failed: (pymysql.err.OperationalError) (2003, "Can't connect to MySQL server on 'etl-mysql-db.c9y8eyuekmgp.ap-south-1.rds.amazonaws.com' (timed out)")
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-10 09:09:02,831 - INFO - Found credentials in shared credentials file: ~/.aws/credentials
2025-06-10 09:09:03,153 - INFO - ETL pipeline started.
2025-06-10 09:09:04,338 - INFO - S3 bucket 'my-etl-bucket-unique123456' already exists.
2025-06-10 09:09:05,775 - INFO - RDS instance already exists.
2025-06-10 09:09:08,429 - INFO - IAM role 'AWSGlueServiceRole' already exists.
2025-06-10 09:09:09,152 - INFO - Glue database 'etl_glue_db' already exists.
2025-06-10 09:09:09,595 - INFO - Glue crawler already exists.
2025-06-10 09:09:09,745 - INFO - Uploaded transformed_data.csv to S3 as transformed_data.csv
2025-06-10 09:09:19,917 - ERROR - Pipeline failed: (pymysql.err.OperationalError) (2003, "Can't connect to MySQL server on 'etl-mysql-db.c9y8eyuekmgp.ap-south-1.rds.amazonaws.com' (timed out)")
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-10 09:16:24,670 - INFO - Found credentials in shared credentials file: ~/.aws/credentials
2025-06-10 09:16:25,083 - INFO - ETL pipeline started.
2025-06-10 09:16:26,331 - INFO - S3 bucket 'my-etl-bucket-unique123456' already exists.
2025-06-10 09:16:28,035 - INFO - RDS instance already exists.
2025-06-10 09:16:30,392 - INFO - IAM role 'AWSGlueServiceRole' already exists.
2025-06-10 09:16:31,158 - INFO - Glue database 'etl_glue_db' already exists.
2025-06-10 09:16:31,659 - INFO - Glue crawler already exists.
2025-06-10 09:16:31,801 - INFO - Uploaded transformed_data.csv to S3 as transformed_data.csv
2025-06-10 09:16:41,910 - ERROR - Pipeline failed: (pymysql.err.OperationalError) (2003, "Can't connect to MySQL server on 'etl-mysql-db.c9y8eyuekmgp.ap-south-1.rds.amazonaws.com' (timed out)")
(Background on this error at: https://sqlalche.me/e/20/e3q8)
